Paper_ID,Artcle-URI,Article-Title,Condition-Extracted-Western,Normalized-Condition-Western,MONDO-OR-HP-Term,Exact-OR-Synonym,MONDO-OR-HP-Term-URI,Comment from TEAM-Core
1633,https://doi.org/10.1007/BF02836497,"A Comparative Study on the Acupoints of Specialty of Baihui, Shuigou and Shenmen in Treating Vascular Dementia*",Vascular dementia (VD),Vascular dementia (VD),vascular dementia,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0004648,
209,https://doi.org/10.1186/s12906-017-1589-3,"A comparative study on the effects of systemic manual acupuncture, periauricular electroacupuncture, and digital electroacupuncture to treat tinnitus: A randomized, paralleled, open-labeled exploratory trial",Tinnitus,Tinnitus,tinnitus,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0700322,
1281,https://pubmed.ncbi.nlm.nih.gov/10513096.0/,A Comparative Study on the Treatment of Migraine Headache With Combined Distant and Local Acupuncture Points Versus Conventional Drug Therapy,Migraine Headache,Migraine Headache,migraine disorder,Synonym - MONDO,http://purl.obolibrary.org/obo/MONDO_0005277,
1579,uri not found,A Comparative Study on the Treatment of Upper Urinary Tract Calculus with an Improved Acupuncture Protocol,Upper Urinary Tract Calculus,Nephrolithiasis (kidney stones),NOT FOUND,,,
1162,uri not found,A Comparative Study on Treating Lumbar Intervertebral Disc Herniation with Electroacupuncture to the Jiaji (EX-B2) Points and Routine Acupuncture,Lumbar intervertebral disc herniation,"disc herniation, low back pain",NOT FOUND,,,
139,https://doi.org/10.3727/036012910803860940,A Comparison Between Pulsed Radiofrequency and Electro-acupuncture for Relieving Pain in Patients with Chronic Low Back Pain,Chronic Low Back Pain,Chronic Low Back Pain,Low back pain,Exact - HP,http://purl.obolibrary.org/obo/HP_0003419,
1199,https://doi.org/10.1080/13697130410001713814,A comparison of acupuncture and oral estradiol treatment of vasomotor symptoms in postmenopa usal women,Hot Flushes,hot flashes,Hot flashes,Exact - HP,http://purl.obolibrary.org/obo/HP_0031217,
1131,https://doi.org/10.1136/aim.19.1.19,A Comparison of Acupuncture with Advice and Exercises on the Symptomatic Treatment of Osteoarthritis of the Hip -A Randomised Controlled Trial,Osteoarthritis of the Hip,Osteoarthritis of the Hip,osteoarthritis,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0005178,
1340,https://doi.org/10.1093/rheumatology/25.3.271,A controlled study of acupuncture in neck pain,Chronic neck pain,Chronic neck pain,Neck pain,Exact - HP,http://purl.obolibrary.org/obo/HP_0030833,
1263,https://pubmed.ncbi.nlm.nih.gov/17313008.0/,A Controlled Study on Endometriosis Treated by Acupuncture with Shu Mu Point Combination,Endometriosis,Endometriosis,endometriosis,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0005133,
465,https://pubmed.ncbi.nlm.nih.gov/17955648.0/,A Controlled Study on Treatment of Mental Depression by Acupuncture plus TCM Medication,Mental Depression,Depression,NOT FOUND,,,
1481,https://doi.org/10.2340/0001555577154156,A Controlled Trial of Acupuncture in Psoriasis: No Convincing Effect,Psoriasis (plaque psoriasis),Psoriasis (plaque psoriasis),psoriasis,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0005083,
1226,https://doi.org/10.1017/s0022215100148091,A controlled trial of acupuncture in tinnitus,Tinnitus,Tinnitus,tinnitus,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0700322,
358,https://doi.org/10.1016/j.jpain.2004.12.009,A Controlled Trial of Placebo Versus Real Acupuncture,Not specified (the paper does not specify a primary medical condition or disease being studied),Not specified (the paper does not specify a primary medical condition or disease being studied),,,,
839,https://doi.org/10.1016/0091-6749(85)90760-2,A controlled trial of real and simulated acupuncture in the management of chronic asthma,Asthma,Asthma,asthma,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0004979,
1409,https://pubmed.ncbi.nlm.nih.gov/671428.0/,A Controlled Trial of the Theory of Acupuncture in Musculoskeletal Pain,Chronic pain,Chronic pain,Chronic pain,Exact - HP,http://purl.obolibrary.org/obo/HP_0012532,
1290,https://doi.org/10.1097/00002508-198912000-00006,A Controlled Trial of the Treatment of Migraine by Acupuncture,Migraine,Migraine,migraine disorder,Synonym - MONDO,http://purl.obolibrary.org/obo/MONDO_0005277,
526,https://doi.org/10.1142/S0192415X02000028,A Controlled Trial on Acupuncture for Chronic Neck Pain,Chronic Neck Pain (CNP),Chronic Neck Pain (CNP),Neck pain,Exact - HP,http://purl.obolibrary.org/obo/HP_0030833,
720,https://doi.org/10.1016/j.jbmt.2020.04.001,A critical overview of the current myofascial pain literature,Myofascial Pain Syndrome (MPS),Myofascial Pain Syndrome (MPS),myofascial pain syndrome,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0006862,
841,https://doi.org/10.1542/peds.2004-0744,"A Double-Blind, Randomized, Placebo-Controlled Trial of Acupuncture for the Treatment of Childhood Persistent Allergic Rhinitis",Persistent Allergic Rhinitis,Persistent Allergic Rhinitis,allergic rhinitis,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0011786,
567,https://doi.org/10.1007/s10549-013-2427-z,A dual-center randomized controlled double blind trial assessing the effect of acupuncture in reducing musculoskeletal symptoms in breast cancer patients taking aromatase inhibitors,Musculoskeletal symptoms associated with aromatase inhibitors in breast cancer patients (AIMSS),breast cancer,NOT FOUND,,,
565,https://doi.org/10.1136/acupmed-2014-010593,A feasibility study to examine the role of acupuncture to reduce symptoms of lymphoedema after breast cancer: a randomised controlled trial,Lymphoedema,Lymphoedema,Lymphedema,Synonym - HP,http://purl.obolibrary.org/obo/HP_0001004,
990,https://doi.org/10.1016/s0740-5472(01)00217-3,A large randomized placebo controlled study of auricular acupuncture for alcohol dependence,Alcohol dependence,Alcohol dependence,alcohol dependence,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0007079,
964,https://pubmed.ncbi.nlm.nih.gov/2148263.0/,A meta analysis of studies into the effect of acupuncture on addiction,"Addiction to cigarette smoking, heroin, and alcohol","nicotine dependence, heroin dependence, alcohol dependence","nicotine dependence, heroin dependence, alcohol dependence","Exact - MONDO, Exact - MONDO, Exact - MONDO","http://purl.obolibrary.org/obo/MONDO_0008575, http://purl.obolibrary.org/obo/MONDO_0005367, http://purl.obolibrary.org/obo/MONDO_0007079",
1853,https://doi.org/10.1007/s10571-008-9336-4,A Meta-Analysis of Acupuncture Combined with Opioid Receptor Agonists for Treatment of Opiate-Withdrawal Symptoms,Opioid withdrawal,Opioid dependence,opiate dependence,Synonym - MONDO,http://purl.obolibrary.org/obo/MONDO_0005530,
974,https://doi.org/10.1136/tc.8.4.393,A meta-analysis of acupuncture techniques for smoking cessation,Smoking cessation,nicotine dependence,NOT FOUND,,,
1075,https://doi.org/10.1089/acm.2013.0364,A Meta-Analysis of Acupuncture Use in the Treatment of Cognitive Impairment After Stroke,Cognitive impairment after stroke,Cognitive impairment after stroke,Cognitive impairment,Exact - HP,http://purl.obolibrary.org/obo/HP_0100543,
979,https://doi.org/10.1016/j.drugalcdep.2014.07.002,"A meta-analysis of ear-acupuncture, ear-acupressure and auriculotherapy for cigarette smoking cessation",Cigarette smoking cessation,"Nicotine dependence, Cigarette smoking cessation",nicotine dependence,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0008575,
1072,https://doi.org/10.1136/acupmed-2012-010155,A meta-analysis of the efficacy of acupuncture in treating dysphagia in patients with a stroke,Dysphagia,Dysphagia,Dysphagia,Exact - HP,http://purl.obolibrary.org/obo/HP_0002015,
826,https://doi.org/10.1111/all.12053,"A multicenter, randomized, controlled trial testing the effects of acupuncture on allergic rhinitis",Allergic rhinitis,Allergic rhinitis,allergic rhinitis,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0011786,
1215,https://pubmed.ncbi.nlm.nih.gov/16705841.0/,A Multicentral Randomized Control Study on Clinical Acupuncture Treatment of Bell's Palsy,Bell's palsy,Bell's palsy,Bell's palsy,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0005665,
364,https://doi.org/10.1111/papr.12309,"A New Method for Sham Controlled Acupuncture in Experimental Visceral Paina Randomized, Single Blinded Study",Visceral pain (experimental rectal pain),"Visceral pain, rectal pain",NOT FOUND,,,
1330,https://doi.org/10.1097/00043764-199507000-00013,"A Nonconventional Approach to the Treatment of ""Environmental Illness""",Environmental illness,Environmental illness,NOT FOUND,,,
424,https://doi.org/10.1089/acm.2009.0367,A Novel Approach to Evaluate Traditional Chinese Medicine Treatment Outcomes Using Pattern Identification,Hepatitis C virus (HCV),Hepatitis C,NOT FOUND,,,
1631,https://doi.org/10.1177/026921559701100302,"A one year follow up study on the effects of acupuncture in the treatment of stroke patients in the subacute stage: a randomized, controlled study",Stroke,Stroke,stroke disorder,Synonym - MONDO,http://purl.obolibrary.org/obo/MONDO_0005098,
1630,https://doi.org/10.1186/1472-6882-12-123,A PET-CT study on the specificity of acupoints through acupuncture treatment in migraine patients,Migraine,Migraine,migraine disorder,Synonym - MONDO,http://purl.obolibrary.org/obo/MONDO_0005277,
243,https://doi.org/10.1245/s10434-012-2759-7,"A Phase II, Randomized, Controlled Trial of Acupuncture for Reduction of Postcolectomy Ileus",Postoperative ileus (POI),Postoperative ileus (POI),ileus,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0004567,
490,https://doi.org/10.1186/1472-6882-14-255,A pilot controlled trial of a combination of dense cranial electroacupuncture stimulation and body acupuncture for post-stroke depression,Post-stroke depression (PSD),Post-stroke depression (PSD),Depression,Exact - HP,http://purl.obolibrary.org/obo/HP_0000716,
1456,https://doi.org/10.1089/10755530152755180,A Pilot Project to Assess the Methodological Issues Involved in Evaluating Acupuncture as a Treatment for Disabling Breathlessness,Disabling breathlessness caused by chronic lung disease (primarily chronic obstructive pulmonary disease [COPD]),"breathlessness, lung disease, primarily chronic obstructive pulmonary disease",NOT FOUND,,,
1261,https://doi.org/10.1097/SGA.0b013e3181b2c920,A Pilot Randomized Controlled Trial of Acupuncture/Moxibustion,Irritable Bowel Syndrome (IBS),Irritable Bowel Syndrome (IBS),irritable bowel syndrome,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0005052,
1201,https://doi.org/10.1097/gme.0b013e31821f9171,"A pilot randomized, single blind, placebo control led trial of traditional acupuncture for vasomotor symptoms and mechanistic pathways of menopause",Vasomotor symptoms (VMS),"Vasomotor symptoms, hot flashes",NOT FOUND,,,
62,https://doi.org/10.1007/s10067-007-0759-y,A pilot study of acupuncture as adjunctive treatment of rheumatoid arthritis,Rheumatoid Arthritis (RA),Rheumatoid Arthritis (RA),rheumatoid arthritis,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0008383,
333,https://doi.org/10.1136/aim.14.1.11,"A Pilot Study of Acupuncture for Tension Headache, Using a Novel Placebo",Tension headache,headache,NOT FOUND,,,
563,https://doi.org/10.1177/1534735414534729,A Pilot Study of Acupuncture in Treating Bortezomib-Induced Peripheral Neuropathy in Patients With Multiple Myeloma,Bortezomib-induced peripheral neuropathy (BIPN),Bortezomib-induced peripheral neuropathy (BIPN),peripheral neuropathy,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0005244,
77,https://doi.org/10.1186/1749-8546-3-2,A pilot study on using acupuncture and transcutaneous electrical nerve stimulation (TENS) to treat knee osteoarthritis (OA),Knee osteoarthritis (OA),Knee osteoarthritis (OA),Knee osteoarthritis,Exact - HP,http://purl.obolibrary.org/obo/HP_0005086,
125,https://doi.org/10.1016/j.ctcp.2008.09.003,A pilot study on using acupuncture and transcutaneous electrical nerve stimulation to treat chronic non-specific low back pain,Chronic low back pain (LBP),Chronic low back pain (LBP),Low back pain,Exact - HP,http://purl.obolibrary.org/obo/HP_0003419,
1152,https://doi.org/10.4102/sajp.v70i2.268,A pilot study on using acupunture and core stability exercises to treat non-specific acute low back paun among industrial workers,Non specific acute low back pain,low back pain,NOT FOUND,,,
945,https://doi.org/10.1089/acm.2007.0738,A Pilot Whole Systems Clinical Trial of Traditional Chinese Medicine and Naturopathic Medicine for the Treatment of Temporomandibular Disorders,Temporomandibular disorders (TMD),Temporomandibular joint disorder (TMD),temporomandibular joint disorder,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0005473,
1627,https://doi.org/10.1016/j.jvoice.2009.05.005,A Preliminary Study of the Effect of Acupuncture on Emotional Stress in Female Dysphonic Speakers,"Phonotraumatic injuries, including vocal nodules, vocal polyps, vocal fold edema, or chronic laryngitis","Phonotraumatic injuries, including vocal nodules, vocal polyps, vocal fold edema, or chronic laryngitis",chronic laryngitis,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0001369,
376,https://doi.org/10.1136/aim.22.1.2,A proposed experimental model of myofascial trigger points in human muscle after slow eccentric exercise,Myofascial trigger points,Myofascial trigger points,NOT FOUND,,,
1214,https://doi.org/10.1136/aim.2009.000638,A prospective randomised controlled study on efficacies of acupuncture and steroid in treatment of idiopathic peripheral facial paralysis,Idiopathic peripheral facial paralysis (Bell's palsy),Idiopathic peripheral facial paralysis (Bell's palsy),facial paralysis,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0001835,
290,https://doi.org/10.1016/j.fertnstert.2009.02.041,A prospective randomized placebo-controlled study of the effect of acupuncture in infertile patients with severe oligoasthenozoospermia,Severe oligoasthenozoospermia,oligoasthenozoospermia,NOT FOUND,,,
781,https://pubmed.ncbi.nlm.nih.gov/10830757.0/,A prospective randomized study comparing acupuncture with physiotherapy for low back and pelvic pain in pregnancy,Low back and pelvic pain during pregnancy (LBP),Low back pain and pelvic pain during pregnancy,"Low back pain, Pelvic pain","Exact - HP, Exact - HP","http://purl.obolibrary.org/obo/HP_0003419, http://purl.obolibrary.org/obo/HP_0034267",
800,https://doi.org/10.1093/humrep/14.10.2480,A prospective randomized study of electro-acupuncture versus alfentanil as anaesthesia during oocyte aspiration in in-vitro fertilization,Pain during oocyte aspiration in IVF procedures,Pain during oocyte aspiration in IVF procedures,Pain,Exact - HP,http://purl.obolibrary.org/obo/HP_0012531,
1005,https://doi.org/10.1097/01.ju.0000044925.03113.ab,"A prospective, randomized pilot trial of acupuncture of the kidney-bladder distinct meridian for lower urinary tract symptoms",Lower urinary tract symptoms,urinary tract symptom,NOT FOUND,,,
1138,https://doi.org/10.1097/00007632-198909000-00008,"A Prospective, Randomized, Double-Blind Evaluation of Trigger-Point Injection — Therapy for Low-Back Pain",Low-back strain,Low back pain,NOT FOUND,,,
149,https://doi.org/10.1136/bmj.38932.806134.7C,A randomised controlled trial of acupuncture care for persistent low back pain: cost effectiveness analysis,Persistent non-specific low back pain,Persistent non-specific low back pain,Low back pain,Exact - HP,http://purl.obolibrary.org/obo/HP_0003419,
760,https://doi.org/10.1016/j.ejca.2013.09.022,A randomised trial of electro-acupuncture for arthralgia related to aromatase inhibitor use,Arthralgia (joint pain) related to aromatase inhibitor use in breast cancer patients,Arthralgia,NOT FOUND,,,
1434,https://doi.org/10.1016/j.midw.2006.02.003,A randomised-control led trial in Sweden of acupuncture and care interventions for the relief of inflammatory symptoms of the breast during lactation,Mastitis (inflammatory symptoms of the breast during lactation),Mastitis (inflammatory symptoms of the breast during lactation),mastitis,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0006849,
212,https://doi.org/10.1016/j.ctim.2010.09.005,"A randomised, placebo-controlled trial of manual and electrical acupuncture for the treatment of tinnitus",Tinnitus,Tinnitus,tinnitus,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0700322,
1311,uri not found,A Randomized and Comparative Study on Vascular Dementia Treated by Needling Remaining at Head Points,Vascular Dementia (VD),Vascular Dementia (VD),vascular dementia,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0004648,
633,https://doi.org/10.7326/0003-4819-143-1-200507050-00005,A Randomized Clinical Trial of Acupuncture Compared with Sham Acupuncture in Fibromyalgia,Fibromyalgia,Fibromyalgia,fibromyalgia,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0005546,
605,https://doi.org/10.1016/j.jpain.2010.09.001,A Randomized Clinical Trial of Acupuncture Versus Oral Steroids for Carpal Tunnel Syndrome: A Long-Term Follow-Up,Carpal Tunnel Syndrome (CTS),Carpal Tunnel Syndrome (CTS),carpal tunnel syndrome,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0007275,
119,https://doi.org/10.1016/S0304-3959(99)00027-5,A randomized comparative trial of acupuncture versus transcutaneous electrical nerve stimulation for chronic back pain in the elderly,Chronic back pain,Chronic back pain,Back pain,Exact - HP,http://purl.obolibrary.org/obo/HP_0003418,
1593,https://doi.org/10.1016/S1726-4901(08)70014-5,A Randomized Controlled Clinical Trial of Auricular Acupuncture in Smoking Cessation,Smoking cessation,nicotine dependence,NOT FOUND,,,
197,https://doi.org/10.1016/j.fertnstert.2006.02.100,A randomized controlled pilot study of acupuncture for postmenopausal hot flashes: effect on nocturnal hot flashes and sleep quality,Postmenopausal nocturnal hot flashes,"Menopause, hot flashes",NOT FOUND,,,done: TCM
1039,https://pubmed.ncbi.nlm.nih.gov/12855628.0/,A Randomized Controlled Single Blind Chemotherapy and Autologous Peripheral Blood Stem Cell at P6 as Additional Antiemetic Prophylaxis in High Dose Effect of Acupuncture Compared with Placebo Acupuncture,Nausea and vomiting associated with high dose chemotherapy and autologous peripheral blood stem cell transplantation.,Nausea and vomiting associated with high dose chemotherapy and autologous peripheral blood stem cell transplantation.,Nausea and vomiting,Exact - HP,http://purl.obolibrary.org/obo/HP_0002017,
622,https://doi.org/10.2340/16501977-0216,A randomized controlled trial of acupuncture added to usual treatment for fibromyalgia,Fibromyalgia,Fibromyalgia,fibromyalgia,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0005546,
716,https://doi.org/10.1080/14767050600730740,A randomized controlled trial of acupuncture for initiation of labor in nulliparous women,Difficulties in labor initiation (post-term pregnancies),labor,NOT FOUND,,,
76,https://doi.org/10.1002/acr.20225,A Randomized Controlled Trial of Acupuncture for Osteoarthritis of the Knee: Effects of Patient-Provider Communication,Knee Osteoarthritis,Knee Osteoarthritis,Knee osteoarthritis,Exact - HP,http://purl.obolibrary.org/obo/HP_0005086,
177,https://doi.org/10.1016/j.ijcard.2014.07.011,A randomized controlled trial of acupuncture in stable ischemic heart disease patients,Stable Ischemic Heart Disease (SIHD),"Ischemic Heart Disease, heart disease",NOT FOUND,,,
172,https://doi.org/10.1016/j.ctim.2015.01.005,A randomized controlled trial of auricular acupressure in heart rate variability and quality of life for hypertension,Hypertension,Hypertension,Hypertension,Exact - HP,http://purl.obolibrary.org/obo/HP_0000822,
980,https://doi.org/10.1001/archinte.160.15.2305,A Randomized Controlled Trial of Auricular Acupuncture for Cocaine Dependence,Cocaine addiction,Cocaine dependence,cocaine dependence,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0005186,done:TCM
175,https://doi.org/10.1016/j.ctcp.2013.10.009,A randomized controlled trial of electroacupuncture at body acupoints and Fenglong for regulating serum lipids in dyslipidemic patients in Thailand,Dyslipidemia,Dyslipidemia,inherited lipid metabolism disorder,Synonym - MONDO,http://purl.obolibrary.org/obo/MONDO_0002525,
1625,https://doi.org/10.1111/pme.12392,A Randomized Controlled Trial of Single Point Acupuncture in Primary Dysmenorrhea,Primary dysmenorrhea,Primary dysmenorrhea,primary dysmenorrhea,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_1060206,
1528,https://doi.org/10.1159/000110308,A Randomized Controlled Trial on the Treatment for Acute Partial Ischemic Stroke with Acupuncture,Acute ischemic stroke,Acute ischemic stroke,ischemic stroke,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_1060198,
802,https://doi.org/10.1093/humrep/den380,A randomized double blind comparison of real and placebo acupuncture in IVF treatment,Infertility,Infertility,Infertility,Exact - HP,http://purl.obolibrary.org/obo/HP_0000789,
1445,https://doi.org/10.3109/02770903.2010.485665,A Randomized Pilot Study of Acupuncture as an Adjunct Therapy in Adult Asthmatic Patients,Asthma,Asthma,asthma,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0004979,
426,https://doi.org/10.1016/j.ejogrb.2013.02.016,A randomized pilot study of acupuncture treatment for primary dysmenorrhea,Primary dysmenorrhea,Primary dysmenorrhea,primary dysmenorrhea,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_1060206,
830,https://doi.org/10.1016/j.jvoice.2004.11.007,A Randomized Treatment-Placebo Study of the Effectiveness of Acupuncture for Benign Vocal Pathologies,Dysphonia; Hyperfunctional Dysphonia,Dysphonia; Hyperfunctional Dysphonia,Dysphonia,Exact - HP,http://purl.obolibrary.org/obo/HP_0001618,
1567,https://doi.org/10.1097/BRS.0b013e31821bf674,A Randomized Trial Comparing Acupuncture and Simulated Acupuncture for Subacute and Chronic Whiplash,Whiplash associated disorders (WAD),Whiplash,NOT FOUND,,,
111,https://doi.org/10.1001/archinternmed.2009.65,"A Randomized Trial Comparing Acupuncture, Simulated Acupuncture, and Usual Care for Chronic Low Back Pain",Chronic low back pain,Chronic low back pain,Low back pain,Exact - HP,http://purl.obolibrary.org/obo/HP_0003419,
66,https://doi.org/10.1093/rheumatology/38.4.346,A randomized trial of acupuncture as an adjunctive therapy in osteoarthritis of the knee,Osteoarthritis (OA) of the knee,Knee osteoarthritis,Knee osteoarthritis,Exact - HP,http://purl.obolibrary.org/obo/HP_0005086,
198,https://doi.org/10.1016/j.ctim.2010.02.002,A randomized trial of acupuncture for vasomotor symptoms in post-menopausal women,Vasomotor symptoms in post-menopausal women,"Vasomotor symptoms, menopause",NOT FOUND,,,
1624,https://doi.org/10.1097/gme.0b013e31816d5b03,"A randomized, controlled pilot study of acupuncture treatment for menopausal hot flashes",Hot flashes in peri- and postmenopausal women,Hot flashes in peri- and postmenopausal women,Hot flashes,Exact - HP,http://purl.obolibrary.org/obo/HP_0031217,
342,https://doi.org/10.1111/j.1526-4610.2005.00235.x,"A Randomized, Controlled Trial of Acupuncture for Chronic Daily Headache",Chronic Daily Headache (CDH),Chronic Daily Headache (CDH),headache disorder,Synonym - MONDO,http://purl.obolibrary.org/obo/MONDO_0021146,
102,https://pubmed.ncbi.nlm.nih.gov/24755566.0/,"A randomized, controlled trial of acupuncture for chronic low back pain",Chronic low back pain (cLBP),Chronic low back pain (cLBP),Low back pain,Exact - HP,http://purl.obolibrary.org/obo/HP_0003419,
